"state","placefp","county","tract","block","stab","cntyname","placenm","pop10","afact"
"State code","Place code","County code","Tract","Block","State abbreviation","County name","Place name","Population (2010)","placefp to block allocation factor"
"55","78600","55025","0115.05","3003","WI","Dane WI","Sun Prairie city, WI",119,0.0041 
"55","78600","55025","0115.05","3004","WI","Dane WI","Sun Prairie city, WI",66,0.0022 
"55","78600","55025","0115.05","3005","WI","Dane WI","Sun Prairie city, WI",41,0.0014 
"55","78600","55025","0115.05","3006","WI","Dane WI","Sun Prairie city, WI",77,0.0026 
"55","78600","55025","0115.05","3007","WI","Dane WI","Sun Prairie city, WI",83,0.0028 
"55","78600","55025","0115.05","3008","WI","Dane WI","Sun Prairie city, WI",155,0.0053 
"55","78600","55025","0115.05","3009","WI","Dane WI","Sun Prairie city, WI",18,0.0006 
"55","78600","55025","0115.05","3010","WI","Dane WI","Sun Prairie city, WI",30,0.001 
"55","78600","55025","0115.05","3011","WI","Dane WI","Sun Prairie city, WI",33,0.0011 
"55","78600","55025","0115.05","3012","WI","Dane WI","Sun Prairie city, WI",27,0.0009 
"55","78600","55025","0115.05","3013","WI","Dane WI","Sun Prairie city, WI",55,0.0019 
"55","78600","55025","0115.05","3014","WI","Dane WI","Sun Prairie city, WI",12,0.0004 
"55","78600","55025","0115.06","1004","WI","Dane WI","Sun Prairie city, WI",50,0.0017 
"55","78600","55025","0115.06","1006","WI","Dane WI","Sun Prairie city, WI",38,0.0013 
"55","78600","55025","0115.06","1007","WI","Dane WI","Sun Prairie city, WI",280,0.0095 
"55","78600","55025","0115.06","1008","WI","Dane WI","Sun Prairie city, WI",106,0.0036 
"55","78600","55025","0115.06","1009","WI","Dane WI","Sun Prairie city, WI",167,0.0057 
"55","78600","55025","0115.06","1010","WI","Dane WI","Sun Prairie city, WI",76,0.0026 
"55","78600","55025","0115.06","1011","WI","Dane WI","Sun Prairie city, WI",21,0.0007 
"55","78600","55025","0115.06","1012","WI","Dane WI","Sun Prairie city, WI",109,0.0037 
"55","78600","55025","0115.06","1013","WI","Dane WI","Sun Prairie city, WI",730,0.0249 
"55","78600","55025","0115.06","1014","WI","Dane WI","Sun Prairie city, WI",57,0.0019 
"55","78600","55025","0115.06","1015","WI","Dane WI","Sun Prairie city, WI",15,0.0005 
"55","78600","55025","0115.06","1017","WI","Dane WI","Sun Prairie city, WI",20,0.0007 
"55","78600","55025","0115.06","1018","WI","Dane WI","Sun Prairie city, WI",121,0.0041 
"55","78600","55025","0115.06","1020","WI","Dane WI","Sun Prairie city, WI",22,0.0007 
"55","78600","55025","0115.06","1027","WI","Dane WI","Sun Prairie city, WI",12,0.0004 
"55","78600","55025","0115.06","1036","WI","Dane WI","Sun Prairie city, WI",14,0.0005 
"55","78600","55025","0115.06","1038","WI","Dane WI","Sun Prairie city, WI",7,0.0002 
"55","78600","55025","0115.06","2000","WI","Dane WI","Sun Prairie city, WI",27,0.0009 
"55","78600","55025","0115.06","2001","WI","Dane WI","Sun Prairie city, WI",114,0.0039 
"55","78600","55025","0115.06","2002","WI","Dane WI","Sun Prairie city, WI",79,0.0027 
"55","78600","55025","0115.06","2003","WI","Dane WI","Sun Prairie city, WI",382,0.013 
"55","78600","55025","0115.06","2004","WI","Dane WI","Sun Prairie city, WI",187,0.0064 
"55","78600","55025","0115.06","2005","WI","Dane WI","Sun Prairie city, WI",22,0.0007 
"55","78600","55025","0115.06","2006","WI","Dane WI","Sun Prairie city, WI",26,0.0009 
"55","78600","55025","0115.06","2007","WI","Dane WI","Sun Prairie city, WI",152,0.0052 
"55","78600","55025","0115.06","2008","WI","Dane WI","Sun Prairie city, WI",164,0.0056 
"55","78600","55025","0115.06","2009","WI","Dane WI","Sun Prairie city, WI",31,0.0011 
